event_id,event_name,event_date,speaker_hcp_id,specialty_focus,region,program_spend,target_ndc_category,venue_type,max_capacity,attendee_count,event_year,event_month,attendance_rate
EVT-0130,Incretin-Based Therapy: Cardiometabolic Evidence - Richmond Regional Dinner Program,2024-09-05,1645750203,cardiology,Southeast,18660.0,METABOLIC_GLP1_INJ,in-person,54,40,2024,2024-09,0.7407407407407407
EVT-0131,Resistant Hypertension in Primary Care - New Haven Speaker Program,2024-09-08,1250670316,primary care,Northeast,15520.0,PC_ANTIHYPERTENSIVE,virtual,113,51,2024,2024-09,0.45132743362831856
EVT-0132,Guideline-Directed Therapy in Heart Failure - Milwaukee Speaker Program,2024-09-14,1884150503,cardiology,Midwest,39670.0,CARD_HF_ARNI,in-person,35,11,2024,2024-09,0.3142857142857143
EVT-0133,Guideline-Directed Therapy in Heart Failure - Mobile Speaker Program,2024-09-19,1607660754,cardiology,Southeast,10530.0,CARD_HF_ARNI,in-person,46,18,2024,2024-09,0.391304347826087
EVT-0134,CGRP Pathway Inhibition in Migraine - Colorado Springs Speaker Program,2024-09-22,1075693709,neurology,West,9950.0,NEURO_MIGRAINE_CGRP,in-person,45,4,2024,2024-09,0.08888888888888889
EVT-0135,Oral JAK Inhibition in Inflammatory Arthritis - Minneapolis Peer-to-Peer Exchange,2024-09-24,1285907337,rheumatology,Midwest,20230.0,RHEUM_JAK_ORAL,virtual,96,10,2024,2024-09,0.10416666666666667
EVT-0136,Guideline-Directed Therapy in Heart Failure - Columbia Advisory Roundtable,2024-09-25,1713480105,cardiology,Midwest,13600.0,CARD_HF_ARNI,in-person,64,21,2024,2024-09,0.328125
EVT-0137,Guideline-Directed Therapy in Heart Failure - Portland Case-Based Forum,2024-09-25,1211781301,cardiology,Northeast,15880.0,CARD_HF_ARNI,virtual,106,20,2024,2024-09,0.18867924528301888
EVT-0138,Targeted Oral Therapy in Advanced Disease - Dallas Case-Based Forum,2024-09-29,1026804116,oncology,Southwest,29540.0,ONC_TARGETED_ORAL,in-person,44,6,2024,2024-09,0.13636363636363635
EVT-0139,Targeted Oral Therapy in Advanced Disease - Hartford Speaker Program,2024-10-04,1360698140,oncology,Northeast,26650.0,ONC_TARGETED_ORAL,in-person,43,6,2024,2024-10,0.13953488372093023
EVT-0140,Resistant Hypertension in Primary Care - Princeton Peer-to-Peer Exchange,2024-10-06,1338119237,primary care,Northeast,23060.0,PC_ANTIHYPERTENSIVE,in-person,44,27,2024,2024-10,0.6136363636363636
EVT-0141,CGRP Pathway Inhibition in Migraine - Bangor Peer-to-Peer Exchange,2024-10-08,1720146327,neurology,Northeast,19050.0,NEURO_MIGRAINE_CGRP,in-person,63,10,2024,2024-10,0.15873015873015872
EVT-0142,Incretin-Based Therapy: Cardiometabolic Evidence - Columbia Clinical Update Series,2024-10-08,1221582384,pulmonology,Midwest,14110.0,METABOLIC_GLP1_INJ,in-person,58,25,2024,2024-10,0.43103448275862066
EVT-0143,Anticoagulation Across Comorbid Populations - Salt Lake City Regional Dinner Program,2024-10-09,1513803142,primary care,West,34140.0,CV_ANTICOAG_ORAL,in-person,33,32,2024,2024-10,0.9696969696969697
EVT-0144,Anticoagulation Across Comorbid Populations - Denver Case-Based Forum,2024-10-18,1589965130,pulmonology,West,21590.0,CV_ANTICOAG_ORAL,in-person,32,26,2024,2024-10,0.8125
EVT-0145,CGRP Pathway Inhibition in Migraine - Albany Speaker Program,2024-10-20,1410724201,neurology,Northeast,4570.0,NEURO_MIGRAINE_CGRP,virtual,101,11,2024,2024-10,0.10891089108910891
EVT-0146,Anticoagulation Across Comorbid Populations - Winston-Salem Advisory Roundtable,2024-10-22,1163769114,oncology,Southeast,28060.0,CV_ANTICOAG_ORAL,in-person,40,20,2024,2024-10,0.5
EVT-0147,Anticoagulation Across Comorbid Populations - Atlanta Case-Based Forum,2024-10-31,1890080918,cardiology,Southeast,39800.0,CV_ANTICOAG_ORAL,in-person,46,38,2024,2024-10,0.8260869565217391
EVT-0148,Oral JAK Inhibition in Inflammatory Arthritis - Jersey City Regional Dinner Program,2024-11-06,1142840812,rheumatology,Northeast,13130.0,RHEUM_JAK_ORAL,virtual,121,12,2024,2024-11,0.09917355371900827
EVT-0149,Anticoagulation Across Comorbid Populations - Albany Advisory Roundtable,2024-11-07,1581992355,cardiology,Northeast,6950.0,CV_ANTICOAG_ORAL,in-person,60,41,2024,2024-11,0.6833333333333333
EVT-0150,Targeted Oral Therapy in Advanced Disease - Allentown Advisory Roundtable,2024-11-08,1775788783,oncology,Northeast,14530.0,ONC_TARGETED_ORAL,in-person,57,6,2024,2024-11,0.10526315789473684
EVT-0151,Oral JAK Inhibition in Inflammatory Arthritis - Pittsburgh Peer-to-Peer Exchange,2024-11-14,1094061177,rheumatology,Northeast,7770.0,RHEUM_JAK_ORAL,virtual,123,11,2024,2024-11,0.08943089430894309
EVT-0152,Anticoagulation Across Comorbid Populations - Jersey City Speaker Program,2024-11-20,1188598183,neurology,Northeast,22900.0,CV_ANTICOAG_ORAL,in-person,62,38,2024,2024-11,0.6129032258064516
EVT-0153,Anticoagulation Across Comorbid Populations - Jersey City Clinical Update Series,2024-11-21,1188598183,neurology,Northeast,30400.0,CV_ANTICOAG_ORAL,in-person,39,30,2024,2024-11,0.7692307692307693
EVT-0154,Incretin-Based Therapy: Cardiometabolic Evidence - Salt Lake City Regional Dinner Program,2024-11-22,1329851996,primary care,West,11670.0,METABOLIC_GLP1_INJ,in-person,42,40,2024,2024-11,0.9523809523809523
EVT-0155,Inhaled Maintenance Therapy in COPD & Asthma - Provo Peer-to-Peer Exchange,2024-11-23,1475353029,pulmonology,West,2910.0,PULM_ICS_LABA_INH,virtual,95,11,2024,2024-11,0.11578947368421053
EVT-0156,Incretin-Based Therapy: Cardiometabolic Evidence - Arlington Advisory Roundtable,2024-11-24,1188411270,endocrinology,Southeast,30050.0,METABOLIC_GLP1_INJ,in-person,65,35,2024,2024-11,0.5384615384615384
EVT-0157,Inhaled Maintenance Therapy in COPD & Asthma - Augusta Advisory Roundtable,2024-11-29,1101495749,pulmonology,Southeast,19440.0,PULM_ICS_LABA_INH,in-person,28,12,2024,2024-11,0.42857142857142855
EVT-0158,Resistant Hypertension in Primary Care - Oklahoma City Peer-to-Peer Exchange,2024-11-30,1614682395,primary care,Southwest,7740.0,PC_ANTIHYPERTENSIVE,in-person,50,32,2024,2024-11,0.64
EVT-0159,Basal Insulin Optimization - San Diego Clinical Update Series,2024-12-03,1600621852,endocrinology,West,7750.0,ENDO_BASAL_INSULIN,virtual,117,20,2024,2024-12,0.17094017094017094
EVT-0160,Basal Insulin Optimization - Stamford Clinical Update Series,2024-12-07,1338689064,endocrinology,Northeast,14170.0,ENDO_BASAL_INSULIN,in-person,39,13,2024,2024-12,0.3333333333333333
EVT-0161,Resistant Hypertension in Primary Care - Las Vegas Speaker Program,2024-12-07,1154262954,primary care,Southwest,6190.0,PC_ANTIHYPERTENSIVE,virtual,103,37,2024,2024-12,0.3592233009708738
EVT-0162,Inhaled Maintenance Therapy in COPD & Asthma - Mobile Speaker Program,2024-12-10,1394700250,pulmonology,Southeast,12330.0,PULM_ICS_LABA_INH,in-person,27,6,2024,2024-12,0.2222222222222222
EVT-0163,Anticoagulation Across Comorbid Populations - Birmingham Peer-to-Peer Exchange,2024-12-13,1692444494,pulmonology,Southeast,16610.0,CV_ANTICOAG_ORAL,in-person,52,33,2024,2024-12,0.6346153846153846
EVT-0164,Basal Insulin Optimization - Portland Advisory Roundtable,2024-12-15,1693072195,endocrinology,Northeast,46130.0,ENDO_BASAL_INSULIN,in-person,55,15,2024,2024-12,0.2727272727272727
EVT-0165,Anticoagulation Across Comorbid Populations - Charleston Advisory Roundtable,2024-12-19,1083964134,endocrinology,Southeast,25630.0,CV_ANTICOAG_ORAL,virtual,101,46,2024,2024-12,0.45544554455445546
EVT-0166,Targeted Oral Therapy in Advanced Disease - Lansing Advisory Roundtable,2024-12-31,1484037258,oncology,Midwest,7820.0,ONC_TARGETED_ORAL,virtual,96,6,2024,2024-12,0.0625
EVT-0167,Anticoagulation Across Comorbid Populations - Green Bay Peer-to-Peer Exchange,2024-12-31,1080136264,primary care,Midwest,3980.0,CV_ANTICOAG_ORAL,virtual,101,53,2024,2024-12,0.5247524752475248
EVT-0168,Incretin-Based Therapy: Cardiometabolic Evidence - Atlanta Regional Dinner Program,2025-01-01,1890080918,cardiology,Southeast,28800.0,METABOLIC_GLP1_INJ,in-person,59,39,2025,2025-01,0.6610169491525424
EVT-0169,CGRP Pathway Inhibition in Migraine - Salt Lake City Advisory Roundtable,2025-01-06,1475314641,neurology,West,39290.0,NEURO_MIGRAINE_CGRP,in-person,31,10,2025,2025-01,0.3225806451612903
EVT-0170,Oral JAK Inhibition in Inflammatory Arthritis - Lansing Advisory Roundtable,2025-01-07,1546587092,rheumatology,Midwest,6200.0,RHEUM_JAK_ORAL,virtual,135,15,2025,2025-01,0.1111111111111111
EVT-0171,Inhaled Maintenance Therapy in COPD & Asthma - San Jose Advisory Roundtable,2025-01-10,1484162957,pulmonology,West,13790.0,PULM_ICS_LABA_INH,in-person,49,8,2025,2025-01,0.16326530612244897
EVT-0172,Incretin-Based Therapy: Cardiometabolic Evidence - Indianapolis Speaker Program,2025-01-14,1897724641,primary care,Midwest,45440.0,METABOLIC_GLP1_INJ,in-person,38,34,2025,2025-01,0.8947368421052632
EVT-0173,Incretin-Based Therapy: Cardiometabolic Evidence - Tacoma Speaker Program,2025-01-14,1518550110,neurology,West,9560.0,METABOLIC_GLP1_INJ,virtual,64,26,2025,2025-01,0.40625
EVT-0174,Basal Insulin Optimization - Albany Speaker Program,2025-01-15,1436772218,endocrinology,Northeast,11830.0,ENDO_BASAL_INSULIN,in-person,39,13,2025,2025-01,0.3333333333333333
EVT-0175,Anticoagulation Across Comorbid Populations - Springfield Regional Dinner Program,2025-01-20,1194241117,primary care,Northeast,3890.0,CV_ANTICOAG_ORAL,virtual,113,64,2025,2025-01,0.5663716814159292
EVT-0176,Anticoagulation Across Comorbid Populations - Santa Fe Clinical Update Series,2025-01-23,1094685637,pulmonology,Southwest,17160.0,CV_ANTICOAG_ORAL,virtual,102,35,2025,2025-01,0.3431372549019608
EVT-0177,Anticoagulation Across Comorbid Populations - Albuquerque Regional Dinner Program,2025-01-31,1078164070,oncology,Southwest,17030.0,CV_ANTICOAG_ORAL,in-person,61,34,2025,2025-01,0.5573770491803278
EVT-0178,Incretin-Based Therapy: Cardiometabolic Evidence - Richmond Regional Dinner Program,2025-01-31,1362616959,neurology,Southeast,35150.0,METABOLIC_GLP1_INJ,in-person,55,31,2025,2025-01,0.5636363636363636
EVT-0179,Resistant Hypertension in Primary Care - Minneapolis Clinical Update Series,2025-02-05,1590602128,primary care,Midwest,11760.0,PC_ANTIHYPERTENSIVE,in-person,46,27,2025,2025-02,0.5869565217391305
EVT-0180,Targeted Oral Therapy in Advanced Disease - Tacoma Speaker Program,2025-02-06,1903865289,oncology,West,7220.0,ONC_TARGETED_ORAL,virtual,128,6,2025,2025-02,0.046875
EVT-0181,Targeted Oral Therapy in Advanced Disease - Grand Rapids Regional Dinner Program,2025-02-07,1009335344,oncology,Midwest,5740.0,ONC_TARGETED_ORAL,virtual,81,9,2025,2025-02,0.1111111111111111
EVT-0182,Anticoagulation Across Comorbid Populations - San Diego Advisory Roundtable,2025-02-14,1480117328,neurology,West,5570.0,CV_ANTICOAG_ORAL,virtual,103,43,2025,2025-02,0.4174757281553398
EVT-0183,CGRP Pathway Inhibition in Migraine - Richmond Advisory Roundtable,2025-02-17,1468766963,neurology,Southeast,10100.0,NEURO_MIGRAINE_CGRP,in-person,65,11,2025,2025-02,0.16923076923076924
EVT-0184,Oral JAK Inhibition in Inflammatory Arthritis - Detroit Advisory Roundtable,2025-02-17,1299294599,rheumatology,Midwest,3440.0,RHEUM_JAK_ORAL,virtual,104,13,2025,2025-02,0.125
EVT-0185,Guideline-Directed Therapy in Heart Failure - Colorado Springs Clinical Update Series,2025-02-20,1164091765,cardiology,West,22290.0,CARD_HF_ARNI,in-person,52,18,2025,2025-02,0.34615384615384615
EVT-0186,Incretin-Based Therapy: Cardiometabolic Evidence - Seattle Case-Based Forum,2025-02-22,1712092349,oncology,West,26420.0,METABOLIC_GLP1_INJ,in-person,38,16,2025,2025-02,0.42105263157894735
EVT-0187,Incretin-Based Therapy: Cardiometabolic Evidence - Greenville Peer-to-Peer Exchange,2025-02-24,1686810049,endocrinology,Southeast,13120.0,METABOLIC_GLP1_INJ,in-person,53,36,2025,2025-02,0.6792452830188679
EVT-0188,Targeted Oral Therapy in Advanced Disease - Greenville Regional Dinner Program,2025-02-26,1693809661,oncology,Southeast,24980.0,ONC_TARGETED_ORAL,in-person,33,5,2025,2025-02,0.15151515151515152
EVT-0189,Inhaled Maintenance Therapy in COPD & Asthma - Savannah Case-Based Forum,2025-02-27,1175085277,pulmonology,Southeast,25910.0,PULM_ICS_LABA_INH,in-person,50,15,2025,2025-02,0.3
EVT-0190,Basal Insulin Optimization - Newark Regional Dinner Program,2025-03-01,1630483653,endocrinology,Northeast,20530.0,ENDO_BASAL_INSULIN,in-person,36,14,2025,2025-03,0.3888888888888889
EVT-0191,Resistant Hypertension in Primary Care - Cambridge Advisory Roundtable,2025-03-03,1481179806,primary care,Northeast,13610.0,PC_ANTIHYPERTENSIVE,in-person,51,34,2025,2025-03,0.6666666666666666
EVT-0192,Guideline-Directed Therapy in Heart Failure - Albuquerque Regional Dinner Program,2025-03-04,1220405058,cardiology,Southwest,13120.0,CARD_HF_ARNI,in-person,44,17,2025,2025-03,0.38636363636363635
EVT-0193,Incretin-Based Therapy: Cardiometabolic Evidence - Mobile Case-Based Forum,2025-03-07,1361512639,neurology,Southeast,15650.0,METABOLIC_GLP1_INJ,in-person,51,26,2025,2025-03,0.5098039215686274
EVT-0194,CGRP Pathway Inhibition in Migraine - Madison Speaker Program,2025-03-13,1735062055,neurology,Midwest,5040.0,NEURO_MIGRAINE_CGRP,virtual,125,15,2025,2025-03,0.12
EVT-0195,Anticoagulation Across Comorbid Populations - Bangor Clinical Update Series,2025-03-19,1206870192,oncology,Northeast,5970.0,CV_ANTICOAG_ORAL,virtual,52,22,2025,2025-03,0.4230769230769231
EVT-0196,Incretin-Based Therapy: Cardiometabolic Evidence - Albany Clinical Update Series,2025-03-22,1436772218,endocrinology,Northeast,21330.0,METABOLIC_GLP1_INJ,in-person,28,26,2025,2025-03,0.9285714285714286
EVT-0197,Oral JAK Inhibition in Inflammatory Arthritis - Hershey Speaker Program,2025-03-23,1835339551,rheumatology,Northeast,23290.0,RHEUM_JAK_ORAL,in-person,60,10,2025,2025-03,0.16666666666666666
EVT-0198,Anticoagulation Across Comorbid Populations - Salt Lake City Speaker Program,2025-03-24,1329851996,primary care,West,22360.0,CV_ANTICOAG_ORAL,in-person,26,26,2025,2025-03,1.0
EVT-0199,Guideline-Directed Therapy in Heart Failure - Pittsburgh Regional Dinner Program,2025-03-25,1291534000,cardiology,Northeast,31360.0,CARD_HF_ARNI,in-person,34,8,2025,2025-03,0.23529411764705882
EVT-0200,Basal Insulin Optimization - Salt Lake City Peer-to-Peer Exchange,2025-03-29,1236438192,endocrinology,West,13770.0,ENDO_BASAL_INSULIN,in-person,37,11,2025,2025-03,0.2972972972972973
